D_TRA1_1_SPOT,D_TRA1_CASE,D_TRA1_SMONTH,D_TRA1_SDAY,D_TRA1_EMONTH,D_TRA1_EDAY,D_TRA1_S_Day,D_TRA1_COST,D_TRA1_NUM,D_TRA1_ONE_COST,A1_1,A4_1,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_21,A7,A7B_1,A7B_2,A7B_3,A7B_4,A7B_5,A7B_6,A7B_7,A9,NA9,BSEX,BAGE,SAGE,BEDU,BFAM,total
34340.0,72.0,402.0,1096.0,402.0,1116.0,20.0,17331050.0,218.0,5963599.0,84,390,63.0,112.0,9.0,16.0,30.0,282.0,0.0,64.0,36.0,0.0,11.0,0.0,0.0,0.0,15.0,32.0,17.0,18.0,0.0,20.0,0.0,261,38.0,2.0,78.0,4.0,35.0,0.0,0.0,18284394,5701548,109,306,3399,249,183,17
34040.0,72.0,474.0,1137.0,474.0,1151.0,14.0,12063000.0,184.0,5203332.0,92,406,44.0,92.0,6.0,36.0,30.0,240.0,147.0,56.0,18.0,0.0,0.0,0.0,26.0,0.0,45.0,48.0,34.0,54.0,0.0,0.0,0.0,214,41.0,2.0,78.0,4.0,15.0,0.0,0.0,12918299,4558533,109,291,3298,249,179,12
38110.0,71.0,478.0,1093.0,478.0,1103.0,10.0,12299333.0,190.0,5433751.0,92,427,60.0,54.0,27.0,4.0,5.0,288.0,14.0,16.0,9.0,0.0,0.0,24.0,0.0,0.0,30.0,96.0,0.0,72.0,0.0,0.0,0.0,241,31.0,2.0,102.0,4.0,35.0,0.0,0.0,11672000,4626767,110,291,3288,243,182,9
31090.0,71.0,520.0,1102.0,520.0,1116.0,14.0,13693000.0,207.0,4838384.0,93,348,58.0,92.0,15.0,4.0,10.0,162.0,0.0,48.0,27.0,0.0,0.0,60.0,0.0,0.0,30.0,0.0,34.0,72.0,0.0,0.0,0.0,254,37.0,8.0,78.0,8.0,15.0,0.0,0.0,12612311,4467816,105,253,2890,258,189,16
36360.0,70.0,510.0,1008.0,510.0,1037.0,29.0,16740000.0,182.0,6669583.0,70,336,64.0,108.0,6.0,16.0,15.0,270.0,28.0,72.0,27.0,0.0,55.0,0.0,0.0,0.0,45.0,64.0,0.0,72.0,0.0,0.0,21.0,210,44.0,0.0,72.0,4.0,5.0,0.0,0.0,16485105,6131893,100,257,2916,260,169,37
36030.0,65.0,431.0,1021.0,431.0,1049.0,28.0,13870084.0,153.0,7868549.0,76,327,56.0,82.0,6.0,24.0,45.0,228.0,7.0,8.0,27.0,0.0,22.0,12.0,13.0,0.0,90.0,144.0,34.0,54.0,0.0,0.0,0.0,211,35.0,4.0,81.0,0.0,10.0,0.0,0.0,13986804,6017618,100,234,2629,223,167,23
35050.0,64.0,445.0,993.0,434.0,989.0,27.0,16506000.0,173.0,6610999.0,99,350,54.0,76.0,15.0,40.0,25.0,204.0,0.0,8.0,18.0,0.0,11.0,0.0,26.0,0.0,45.0,80.0,17.0,72.0,0.0,0.0,0.0,224,31.0,0.0,87.0,8.0,10.0,0.0,0.0,16568815,6010445,96,241,2713,228,162,27
33030.0,63.0,434.0,948.0,434.0,980.0,32.0,15634400.0,150.0,6904850.0,87,363,56.0,84.0,27.0,32.0,15.0,228.0,14.0,40.0,9.0,0.0,0.0,12.0,0.0,0.0,30.0,32.0,0.0,54.0,0.0,0.0,0.0,231,34.0,2.0,75.0,4.0,25.0,0.0,0.0,15649103,6708068,88,246,2769,230,155,16
32340.0,62.0,397.0,926.0,398.0,959.0,64.0,27474900.0,167.0,11129483.0,68,267,55.0,68.0,30.0,20.0,10.0,300.0,21.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,45.0,16.0,51.0,54.0,0.0,0.0,0.0,231,35.0,6.0,87.0,0.0,0.0,0.0,0.0,30015901,10193650,96,232,2608,219,159,23
36350.0,61.0,417.0,902.0,406.0,897.0,26.0,17335000.0,183.0,6451070.0,75,284,50.0,66.0,12.0,12.0,20.0,198.0,0.0,32.0,45.0,0.0,22.0,12.0,0.0,0.0,45.0,16.0,51.0,54.0,0.0,0.0,21.0,213,33.0,8.0,72.0,4.0,5.0,0.0,0.0,16452230,5620790,84,226,2553,211,160,18
36390.0,60.0,399.0,896.0,400.0,876.0,10.0,9795000.0,155.0,4078691.0,66,331,49.0,80.0,0.0,16.0,10.0,156.0,0.0,16.0,27.0,0.0,22.0,12.0,0.0,0.0,15.0,32.0,17.0,180.0,0.0,0.0,0.0,180,36.0,2.0,60.0,4.0,0.0,0.0,0.0,9910919,3757119,91,242,2695,205,145,19
35370.0,58.0,379.0,947.0,379.0,964.0,17.0,9616000.0,127.0,4387167.0,63,340,45.0,72.0,6.0,56.0,10.0,252.0,7.0,16.0,18.0,0.0,11.0,36.0,104.0,0.0,30.0,48.0,17.0,198.0,0.0,0.0,0.0,187,29.0,4.0,78.0,12.0,0.0,0.0,0.0,9976505,3704235,90,227,2507,199,142,23
34080.0,57.0,372.0,754.0,372.0,765.0,11.0,11110000.0,142.0,4668999.0,58,237,53.0,70.0,6.0,4.0,10.0,174.0,0.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,17.0,54.0,0.0,0.0,0.0,162,22.0,6.0,81.0,0.0,10.0,0.0,0.0,11381194,4387348,81,220,2520,200,142,17
